day, strategy_name, total, success, fail
2023-03-07,海龟交易法则,478,46,386
2023-03-07,放量上涨,15,2,13
2023-03-07,突破平台,227,42,174
2023-03-07,均线多头,85,18,62
2023-03-07,无大幅回撤,4,0,2
2023-03-07,停机坪,9,1,7
2023-02-20,海龟交易法则,542,64,425
2023-02-20,放量上涨,53,10,39
2023-02-20,突破平台,101,11,78
2023-02-20,均线多头,145,16,124
2023-02-20,无大幅回撤,3,0,3
2023-02-20,停机坪,15,2,13
2021-11-23,海龟交易法则,896,112,695
2021-11-23,放量上涨,15,4,11
2021-11-23,突破平台,49,2,43
2021-11-23,均线多头,415,87,302
2021-11-23,无大幅回撤,13,1,11
2021-11-23,停机坪,23,5,14
2021-11-22,海龟交易法则,867,129,675
2021-11-22,放量上涨,19,4,13
2021-11-22,突破平台,50,4,44
2021-11-22,均线多头,410,73,312
2021-11-22,无大幅回撤,18,3,14
2021-11-22,停机坪,24,5,19
2023-02-21,海龟交易法则,513,52,365
2023-02-21,放量上涨,31,2,25
2023-02-21,突破平台,117,10,94
2023-02-21,均线多头,220,33,158
2023-02-21,无大幅回撤,8,2,4
2023-02-21,停机坪,16,0,15
2023-02-23,海龟交易法则,588,84,414
2023-02-23,放量上涨,13,3,8
2023-02-23,突破平台,150,15,118
2023-02-23,均线多头,207,59,136
2023-02-23,无大幅回撤,9,4,4
2023-02-23,停机坪,14,2,11
2021-11-08,海龟交易法则,615,188,391
2021-11-08,放量上涨,6,1,5
2021-11-08,突破平台,35,11,24
2021-11-08,均线多头,172,45,113
2021-11-08,无大幅回撤,12,4,8
2021-11-08,停机坪,23,6,12
2021-11-09,海龟交易法则,942,233,596
2021-11-09,放量上涨,2,0,2
2021-11-09,突破平台,31,10,19
2021-11-09,均线多头,182,53,119
2021-11-09,无大幅回撤,12,3,9
2021-11-09,停机坪,25,8,13
2023-02-22,海龟交易法则,613,89,394
2023-02-22,放量上涨,12,2,9
2023-02-22,突破平台,140,12,116
2023-02-22,均线多头,219,46,151
2023-02-22,无大幅回撤,8,1,6
2023-02-22,停机坪,15,2,12
2023-02-26,海龟交易法则,289,0,289
2023-02-26,放量上涨,15,0,15
2023-02-26,突破平台,163,0,163
2023-02-26,均线多头,175,0,175
2023-02-26,无大幅回撤,8,0,8
2023-02-26,停机坪,12,0,12
2021-11-25,海龟交易法则,695,104,509
2021-11-25,放量上涨,6,2,4
2021-11-25,突破平台,50,7,35
2021-11-25,均线多头,398,76,298
2021-11-25,无大幅回撤,12,1,10
2021-11-25,停机坪,29,4,24
2021-11-19,海龟交易法则,904,143,658
2021-11-19,放量上涨,11,2,8
2021-11-19,突破平台,49,6,40
2021-11-19,均线多头,362,61,272
2021-11-19,无大幅回撤,16,4,11
2021-11-19,停机坪,30,4,24
2021-11-18,海龟交易法则,547,124,372
2021-11-18,放量上涨,11,2,8
2021-11-18,突破平台,46,10,29
2021-11-18,均线多头,319,62,234
2021-11-18,无大幅回撤,15,5,9
2021-11-18,停机坪,30,5,23
2021-11-24,海龟交易法则,816,130,578
2021-11-24,放量上涨,13,0,10
2021-11-24,突破平台,48,4,36
2021-11-24,均线多头,408,91,280
2021-11-24,无大幅回撤,13,0,11
2021-11-24,停机坪,26,4,19
2022-01-01,海龟交易法则,747,0,747
2022-01-01,放量上涨,12,0,12
2022-01-01,突破平台,47,0,47
2022-01-01,均线多头,204,0,204
2022-01-01,无大幅回撤,21,0,21
2022-01-01,停机坪,7,0,7
2023-02-27,海龟交易法则,336,80,213
2023-02-27,放量上涨,23,4,17
2023-02-27,突破平台,175,33,113
2023-02-27,均线多头,145,51,88
2023-02-27,无大幅回撤,9,3,4
