 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 9 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,339] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 1 天后, 总数:5, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 80.00%]
 [2023-03-29 20:39:29,351] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 2 天后, 总数:5, 成功数:1, 失败数:2, 成功率: 20.00%, 失败率 40.00%]
 [2023-03-29 20:39:29,363] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 3 天后, 总数:5, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 60.00%]
 [2023-03-29 20:39:29,375] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 4 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:29,386] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 5 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:29,398] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 6 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:29,409] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 7 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:29,421] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 8 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:29,433] - [backtest_tmp.py] - [day:2021-09-16, 海龟放量 在 9 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:29,526] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 1 天后, 总数:35, 成功数:5, 失败数:29, 成功率: 14.29%, 失败率 82.86%]
 [2023-03-29 20:39:29,605] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 2 天后, 总数:35, 成功数:12, 失败数:23, 成功率: 34.29%, 失败率 65.71%]
 [2023-03-29 20:39:29,682] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 3 天后, 总数:35, 成功数:7, 失败数:28, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:29,765] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 4 天后, 总数:35, 成功数:2, 失败数:32, 成功率: 5.71%, 失败率 91.43%]
 [2023-03-29 20:39:29,870] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 5 天后, 总数:35, 成功数:1, 失败数:34, 成功率: 2.86%, 失败率 97.14%]
 [2023-03-29 20:39:29,990] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 6 天后, 总数:35, 成功数:1, 失败数:33, 成功率: 2.86%, 失败率 94.29%]
 [2023-03-29 20:39:30,071] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 7 天后, 总数:35, 成功数:0, 失败数:35, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,153] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 8 天后, 总数:35, 成功数:0, 失败数:33, 成功率: 0.00%, 失败率 94.29%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线 在 9 天后, 总数:35, 成功数:0, 失败数:34, 成功率: 0.00%, 失败率 97.14%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 1 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 2 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 3 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 4 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 5 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 6 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 7 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 8 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,234] - [backtest_tmp.py] - [day:2021-09-16, 海龟突破 在 9 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,239] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 1 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,243] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 2 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,247] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 3 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,250] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 4 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,254] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 5 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,258] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 6 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,262] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 7 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,265] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 8 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 均线突破 在 9 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 1 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 2 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 3 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 4 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 5 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 6 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 7 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 8 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,269] - [backtest_tmp.py] - [day:2021-09-16, 海龟均线突破 在 9 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,305] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 1 天后, 总数:12, 成功数:3, 失败数:8, 成功率: 25.00%, 失败率 66.67%]
 [2023-03-29 20:39:30,338] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 2 天后, 总数:12, 成功数:4, 失败数:7, 成功率: 33.33%, 失败率 58.33%]
 [2023-03-29 20:39:30,369] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 3 天后, 总数:12, 成功数:1, 失败数:9, 成功率: 8.33%, 失败率 75.00%]
 [2023-03-29 20:39:30,401] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 4 天后, 总数:12, 成功数:4, 失败数:4, 成功率: 33.33%, 失败率 33.33%]
 [2023-03-29 20:39:30,435] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 5 天后, 总数:12, 成功数:3, 失败数:7, 成功率: 25.00%, 失败率 58.33%]
 [2023-03-29 20:39:30,469] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 6 天后, 总数:12, 成功数:3, 失败数:7, 成功率: 25.00%, 失败率 58.33%]
 [2023-03-29 20:39:30,503] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 7 天后, 总数:12, 成功数:3, 失败数:8, 成功率: 25.00%, 失败率 66.67%]
 [2023-03-29 20:39:30,548] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 8 天后, 总数:12, 成功数:1, 失败数:10, 成功率: 8.33%, 失败率 83.33%]
 [2023-03-29 20:39:30,595] - [backtest_tmp.py] - [day:2021-09-22, 海龟放量 在 9 天后, 总数:12, 成功数:0, 失败数:12, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:30,758] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 1 天后, 总数:59, 成功数:17, 失败数:41, 成功率: 28.81%, 失败率 69.49%]
 [2023-03-29 20:39:30,895] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 2 天后, 总数:59, 成功数:11, 失败数:46, 成功率: 18.64%, 失败率 77.97%]
 [2023-03-29 20:39:31,035] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 3 天后, 总数:59, 成功数:4, 失败数:55, 成功率: 6.78%, 失败率 93.22%]
 [2023-03-29 20:39:31,174] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 4 天后, 总数:59, 成功数:5, 失败数:50, 成功率: 8.47%, 失败率 84.75%]
 [2023-03-29 20:39:31,310] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 5 天后, 总数:59, 成功数:4, 失败数:54, 成功率: 6.78%, 失败率 91.53%]
 [2023-03-29 20:39:31,451] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 6 天后, 总数:59, 成功数:4, 失败数:53, 成功率: 6.78%, 失败率 89.83%]
 [2023-03-29 20:39:31,587] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 7 天后, 总数:59, 成功数:6, 失败数:53, 成功率: 10.17%, 失败率 89.83%]
 [2023-03-29 20:39:31,722] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 8 天后, 总数:59, 成功数:3, 失败数:56, 成功率: 5.08%, 失败率 94.92%]
 [2023-03-29 20:39:31,860] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线 在 9 天后, 总数:59, 成功数:4, 失败数:55, 成功率: 6.78%, 失败率 93.22%]
 [2023-03-29 20:39:31,873] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 1 天后, 总数:9, 成功数:1, 失败数:8, 成功率: 11.11%, 失败率 88.89%]
 [2023-03-29 20:39:31,884] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 2 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:31,895] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 3 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
