 [2023-03-22 23:06:20,438] - [backtest_tmp.py] - [day:2021-11-11, 停机坪 在 5 天后, 总数:27, 成功数:8, 失败数:17, 成功率: 29.63%, 失败率 62.96%]
 [2023-03-22 23:06:22,729] - [backtest_tmp.py] - [day:2021-11-12, 海龟交易法则 在 5 天后, 总数:1169, 成功数:268, 失败数:763, 成功率: 22.93%, 失败率 65.27%]
 [2023-03-22 23:06:22,751] - [backtest_tmp.py] - [day:2021-11-12, 放量上涨 在 5 天后, 总数:9, 成功数:1, 失败数:6, 成功率: 11.11%, 失败率 66.67%]
 [2023-03-22 23:06:22,852] - [backtest_tmp.py] - [day:2021-11-12, 突破平台 在 5 天后, 总数:41, 成功数:5, 失败数:33, 成功率: 12.20%, 失败率 80.49%]
 [2023-03-22 23:06:23,339] - [backtest_tmp.py] - [day:2021-11-12, 均线多头 在 5 天后, 总数:227, 成功数:51, 失败数:164, 成功率: 22.47%, 失败率 72.25%]
 [2023-03-22 23:06:23,361] - [backtest_tmp.py] - [day:2021-11-12, 无大幅回撤 在 5 天后, 总数:14, 成功数:4, 失败数:10, 成功率: 28.57%, 失败率 71.43%]
 [2023-03-22 23:06:23,436] - [backtest_tmp.py] - [day:2021-11-12, 停机坪 在 5 天后, 总数:29, 成功数:8, 失败数:20, 成功率: 27.59%, 失败率 68.97%]
 [2023-03-22 23:06:23,762] - [backtest_tmp.py] - [day:2021-09-28, 海龟交易法则 在 5 天后, 总数:132, 成功数:16, 失败数:112, 成功率: 12.12%, 失败率 84.85%]
 [2023-03-22 23:06:23,773] - [backtest_tmp.py] - [day:2021-09-28, 放量上涨 在 5 天后, 总数:5, 成功数:2, 失败数:3, 成功率: 40.00%, 失败率 60.00%]
 [2023-03-22 23:06:23,909] - [backtest_tmp.py] - [day:2021-09-28, 突破平台 在 5 天后, 总数:56, 成功数:15, 失败数:36, 成功率: 26.79%, 失败率 64.29%]
 [2023-03-22 23:06:24,333] - [backtest_tmp.py] - [day:2021-09-28, 均线多头 在 5 天后, 总数:171, 成功数:15, 失败数:152, 成功率: 8.77%, 失败率 88.89%]
 [2023-03-22 23:06:24,361] - [backtest_tmp.py] - [day:2021-09-28, 无大幅回撤 在 5 天后, 总数:10, 成功数:0, 失败数:10, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:24,412] - [backtest_tmp.py] - [day:2021-09-28, 停机坪 在 5 天后, 总数:19, 成功数:2, 失败数:17, 成功率: 10.53%, 失败率 89.47%]
