
******************************"海龟交易法则-开始"******************************
('001222', '源飞宠物', 97082.7)
('001206', '依依股份', 178960.989042)
('000977', '浪潮信息', 5613526.8672)
('000927', '中国铁物', 1338134.8791)
('000901', '航天科技', 828533.059428)
('000823', '超声电子', 577751.3943)
('000761', '本钢板材', 1234834.668261)
('000753', '漳州发展', 469962.027654)
('000739', '普洛药业', 2867455.655214)
('000738', '航发控制', 3229499.349114)
('000709', '河钢股份', 2625193.421688)
('000692', '惠天热电', 198744.042423)
('000663', '永安林业', 294658.707746)
('000659', '珠海中富', 452567.28704)
('000639', '西王食品', 593684.7246)
('000633', '合金投资', 379326.970155)
('000576', '甘化科工', 509803.759929)
('000572', '海马汽车', 967229.426936)
('000567', '海德股份', 1739385.196875)
('000554', '泰山石油', 221577.735535)
('000532', '华金资本', 463105.057608)
('000501', '武商集团', 897877.502998)
('000426', '兴业矿业', 1079730.921144)
('000417', '合肥百货', 410547.466677)
('000099', '中信海直', 558229.096896)
('000058', '深 赛 格', 731559.363272)
('000030', '富奥股份', 879948.91972)
('000028', '国药一致', 1365390.7725)
('000008', '神州高铁', 670668.88224)
('600666', '*ST瑞德', 551703.66918)
('600290', 'ST华仪', 162619.351354)
('600226', 'ST瀚叶', 872246.27448)
('600145', '退市新亿', 50697.41292)
('600136', 'ST明诚', 146577.719172)
('600087', '退市长油', 0.0)
('600069', '退市银鸽', 248558.58712)
******************************"海龟交易法则-结束"******************************
******************************"放量上涨-开始"******************************
('603528', '多伦科技', 592912.52465)
('603093', '南华期货', 691814.722662)
('603087', '甘李药业', 1182698.972928)
('600790', '轻纺城', 699182.272656)
('600685', '中船防务', 1939408.462341)
('600363', '联创光电', 1304422.58625)
('600351', '亚宝药业', 512050.015295)
('600338', '西藏珠峰', 2408029.582512)
('300034', '钢研高纳', 2022653.247264)
('300008', '天海防务', 717016.205571)
('002891', '中宠股份', 761139.788124)
('002644', '佛慈制药', 563765.328)
('002197', '证通电子', 626705.234226)
('002060', '粤 水 电', 873789.955662)
('000058', '深 赛 格', 731559.363272)
******************************"放量上涨-结束"******************************
股票('605499', '东鹏饮料', 1540874.72) 突破日期：2023-02-09
股票('605111', '新洁能', 1256566.982841) 突破日期：2023-02-09
股票('603979', '金诚信', 1909488.221235) 突破日期：2023-02-14
股票('603938', '三孚股份', 996190.20774) 突破日期：2023-02-09
股票('603877', '太平鸟', 939187.473142) 突破日期：2023-02-13
股票('603866', '桃李面包', 2284932.193344) 突破日期：2023-02-13
股票('603733', '仙鹤股份', 2163813.38726) 突破日期：2023-02-22
股票('603730', '岱美股份', 1736568.849508) 突破日期：2023-02-23
股票('603708', '家家悦', 784838.9928) 突破日期：2023-02-13
股票('603676', '卫信康', 651376.836) 突破日期：2023-02-22
股票('603639', '海利尔', 898723.958876) 突破日期：2023-02-20
股票('603599', '广信股份', 2034734.484255) 突破日期：2023-02-13
股票('603520', '司太立', 776480.373767) 突破日期：2023-02-22
股票('603444', '吉比特', 2617377.27444) 突破日期：2023-02-06
股票('603303', '得邦照明', 913825.8057) 突破日期：2023-02-13
股票('603222', '济民医疗', 554798.514365) 突破日期：2023-02-06
股票('603181', '皇马科技', 884816.1) 突破日期：2023-02-14
股票('603180', '金牌厨柜', 643559.711704) 突破日期：2023-02-07
股票('603100', '川仪股份', 1466606.25) 突破日期：2023-02-09
股票('603093', '南华期货', 691814.722662) 突破日期：2023-02-23
股票('603076', '乐惠国际', 503807.409856) 突破日期：2023-02-13
股票('603043', '广州酒家', 1589145.62917) 突破日期：2023-02-13
股票('601858', '中国科传', 1082194.5) 突破日期：2023-02-10
股票('601718', '际华集团', 1409713.038684) 突破日期：2023-02-17
股票('601666', '平煤股份', 2776035.18555) 突破日期：2023-02-17
股票('601577', '长沙银行', 1649949.968646) 突破日期：2023-02-10
股票('601566', '九牧王', 534412.5495) 突破日期：2023-02-17
股票('601388', '怡球资源', 735569.316664) 突破日期：2023-02-20
股票('601128', '常熟银行', 2045949.105078) 突破日期：2023-02-09
股票('601116', '三江购物', 574514.6416) 突破日期：2023-02-10
股票('601068', '中铝国际', 1315629.602838) 突破日期：2023-02-20
股票('601015', '陕西黑猫', 1060056.274641) 突破日期：2023-02-17
股票('600992', '贵绳股份', 592872.71) 突破日期：2023-02-14
股票('600882', '妙可蓝多', 1840832.860965) 突破日期：2023-02-13
股票('600867', '通化东宝', 2278378.997685) 突破日期：2023-02-08
股票('600827', '百联股份', 1931757.70368) 突破日期：2023-02-13
股票('600821', '金开新能', 941223.124065) 突破日期：2023-02-07
股票('600812', '华北制药', 1020883.760354) 突破日期：2023-02-17
股票('600801', '华新水泥', 2417336.742625) 突破日期：2023-02-13
股票('600770', '综艺股份', 917800.0) 突破日期：2023-02-09
股票('600729', '重庆百货', 1030206.13626) 突破日期：2023-02-20
股票('600711', '盛屯矿业', 1963409.20912) 突破日期：2023-02-21
股票('600691', '阳煤化工', 890844.732) 突破日期：2023-02-17
股票('600685', '中船防务', 1939408.462341) 突破日期：2023-02-24
股票('600662', '外服控股', 641497.574319) 突破日期：2023-02-09
股票('600604', '市北高新', 743136.136512) 突破日期：2023-02-20
股票('600596', '新安股份', 1677704.4602) 突破日期：2023-02-21
股票('600529', '山东药玻', 1766459.240843) 突破日期：2023-02-10
股票('600481', '双良节能', 2398187.723782) 突破日期：2023-02-21
股票('600480', '凌云股份', 740759.33074) 突破日期：2023-02-21
股票('600475', '华光环能', 1140183.5181) 突破日期：2023-02-13
股票('600429', '三元股份', 784720.091224) 突破日期：2023-02-10
股票('600415', '小商品城', 2891885.52128) 突破日期：2023-02-20
股票('600390', '五矿资本', 2424457.282401) 突破日期：2023-02-21
股票('600369', '西南证券', 2314494.74084) 突破日期：2023-02-14
股票('600335', '国机汽车', 1334497.821516) 突破日期：2023-02-20
股票('600329', '达仁堂', 2024110.107852) 突破日期：2023-02-13
股票('600305', '恒顺醋业', 1293813.28128) 突破日期：2023-02-13
股票('600266', '城建发展', 1060572.672) 突破日期：2023-02-07
股票('600217', '中再资环', 706827.829038) 突破日期：2023-02-16
股票('600171', '上海贝岭', 1337576.766675) 突破日期：2023-02-09
股票('600127', '金健米业', 507008.74222) 突破日期：2023-02-23
股票('600095', '湘财股份', 1182135.360288) 突破日期：2023-02-16
股票('600062', '华润双鹤', 1868593.35264) 突破日期：2023-02-17
股票('600056', '中国医药', 2313308.736466) 突破日期：2023-02-16
股票('600053', '九鼎投资', 708405.6672) 突破日期：2023-02-20
股票('301089', '拓新药业', 546042.1582) 突破日期：2023-02-17
股票('301080', '百普赛斯', 502993.248587) 突破日期：2023-02-09
股票('301050', '雷电微力', 1173337.111525) 突破日期：2023-02-09
股票('300999', '金龙鱼', 2501603.11717) 突破日期：2023-02-13
股票('300957', '贝泰妮', 2972641.604214) 突破日期：2023-02-13
股票('300866', '安克创新', 1001511.57799) 突破日期：2023-02-14
股票('300821', '东岳硅材', 539598.0) 突破日期：2023-02-21
股票('300811', '铂科新材', 820344.089565) 突破日期：2023-02-14
股票('300776', '帝尔激光', 1424479.971827) 突破日期：2023-02-15
股票('300775', '三角防务', 1878231.633472) 突破日期：2023-02-21
股票('300737', '科顺股份', 1185075.386906) 突破日期：2023-02-20
股票('300662', '科锐国际', 962999.378868) 突破日期：2023-02-13
股票('300618', '寒锐钴业', 1229756.818966) 突破日期：2023-02-21
股票('300510', '金冠股份', 501558.32055) 突破日期：2023-02-15
股票('300436', '广生堂', 500508.600756) 突破日期：2023-02-17
股票('300432', '富临精工', 1852821.279933) 突破日期：2023-02-23
股票('300406', '九强生物', 605950.284544) 突破日期：2023-02-08
股票('300373', '扬杰科技', 2811294.96344) 突破日期：2023-02-09
股票('300261', '雅本化学', 1160104.268726) 突破日期：2023-02-13
股票('300260', '新莱应材', 1104663.616205) 突破日期：2023-02-15
股票('300204', '舒泰神', 576869.71602) 突破日期：2023-02-17
股票('300199', '翰宇药业', 887823.072729) 突破日期：2023-02-17
股票('300070', '碧水源', 1379786.766908) 突破日期：2023-02-17
股票('300054', '鼎龙股份', 1633895.08668) 突破日期：2023-02-13
股票('300035', '中科电气', 1215411.040394) 突破日期：2023-02-08
股票('003022', '联泓新科', 1058714.592) 突破日期：2023-02-23
股票('002937', '兴瑞科技', 781795.3194) 突破日期：2023-02-15
股票('002928', '华夏航空', 1241620.272025) 突破日期：2023-02-13
股票('002907', '华森制药', 576343.656635) 突破日期：2023-02-17
股票('002906', '华阳集团', 1762159.18662) 突破日期：2023-02-21
股票('002897', '意华股份', 868742.402118) 突破日期：2023-02-23
股票('002865', '钧达股份', 2466655.269415) 突破日期：2023-02-23
股票('002791', '坚朗五金', 1537155.627786) 突破日期：2023-02-20
股票('002759', '天际股份', 803839.789045) 突破日期：2023-02-21
股票('002716', '金贵银业', 687035.756925) 突破日期：2023-02-21
股票('002695', '煌上煌', 614339.689761) 突破日期：2023-02-10
股票('002673', '西部证券', 2736723.608928) 突破日期：2023-02-09
股票('002626', '金达威', 1460578.226545) 突破日期：2023-02-13
股票('002607', '中公教育', 2649073.36068) 突破日期：2023-02-13
股票('002597', '金禾实业', 1823573.866008) 突破日期：2023-02-14
股票('002585', '双星新材', 1221774.641031) 突破日期：2023-02-15
股票('002572', '索菲亚', 1427033.041092) 突破日期：2023-02-20
股票('002541', '鸿路钢构', 1724097.32485) 突破日期：2023-02-20
股票('002528', '英飞拓', 1133293.708833) 突破日期：2023-02-21
股票('002508', '老板电器', 2922411.865939) 突破日期：2023-02-20
股票('002507', '涪陵榨菜', 2332852.622544) 突破日期：2023-02-13
股票('002426', '胜利精密', 825442.189758) 突破日期：2023-02-09
股票('002407', '多氟多', 2524089.6297) 突破日期：2023-02-13
股票('002346', '柘中股份', 569250.60367) 突破日期：2023-02-22
股票('002317', '众生药业', 1601842.892325) 突破日期：2023-02-17
股票('002302', '西部建设', 1035130.52928) 突破日期：2023-02-13
股票('002293', '罗莱生活', 1041414.42132) 突破日期：2023-02-13
股票('002285', '世联行', 632705.891938) 突破日期：2023-02-10
股票('002242', '九阳股份', 1480836.19215) 突破日期：2023-02-09
股票('002163', '海南发展', 932118.0) 突破日期：2023-02-10
股票('002157', '正邦科技', 873560.82095) 突破日期：2023-02-10
股票('002154', '报 喜 鸟', 555973.319511) 突破日期：2023-02-17
股票('002135', '东南网架', 743851.53896) 突破日期：2023-02-20
股票('002128', '电投能源', 2624868.623746) 突破日期：2023-02-20
股票('002111', '威海广泰', 536739.251574) 突破日期：2023-02-20
股票('002095', '生 意 宝', 535635.50712) 突破日期：2023-02-15
股票('002081', '金 螳 螂', 1452410.353154) 突破日期：2023-02-10
股票('002079', '苏州固锝', 1195070.266107) 突破日期：2023-02-09
股票('002073', '软控股份', 693732.258538) 突破日期：2023-02-22
股票('002060', '粤 水 电', 873789.955662) 突破日期：2023-02-24
股票('002028', '思源电气', 2733984.217536) 突破日期：2023-02-14
股票('002024', 'ST易购', 1791305.33934) 突破日期：2023-02-16
股票('002023', '海特高新', 632383.711975) 突破日期：2023-02-22
